+-----+-----------------+----------------+-------------------+------------------+--------------------+---------------+-----------------+------------+---------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------+---------------------+-------------------+------------------+-------------------+
|     |   mean_fit_time |   std_fit_time |   mean_score_time |   std_score_time |   param_batch_size |   param_epoch | param_loss_fn   |   param_lr | params                                                              |   split0_test_score |   split1_test_score |   split2_test_score |   split3_test_score |   split4_test_score |   mean_test_score |   std_test_score |   rank_test_score |
|  29 |        90.535   |    0.314974    |        0.012779   |      4.59194e-05 |                 32 |           150 | Mean            |     0.001  | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 0.001}    |            0.290272 |            0.291395 |            0.289493 |            0.288713 |            0.291381 |          0.290251 |       0.00105136 |               133 |
|  30 |        94.3668  |    3.83651     |        0.0136167  |      0.000861099 |                 32 |           150 | Mean            |     0.0001 | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 0.0001}   |            0.316927 |            0.31875  |            0.32041  |            0.328202 |            0.316088 |          0.320075 |       0.00432965 |                86 |
|  31 |        90.462   |    0.596287    |        0.0127887  |      8.23503e-05 |                 32 |           150 | Mean            |     1e-05  | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 1e-05}    |            0.392031 |            0.384624 |            0.380059 |            0.380526 |            0.367839 |          0.381016 |       0.00786285 |                57 |
|  32 |         8.29536 |    0.133853    |        0.0100842  |      0.000951072 |                 64 |            25 | MSE             |     0.01   | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.01}       |            0.214596 |            0.228028 |            0.223103 |            0.225011 |            0.209137 |          0.219975 |       0.0070201  |               166 |
|  33 |         8.22684 |    0.0557615   |        0.00987701 |      0.000958941 |                 64 |            25 | MSE             |     0.001  | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.001}      |            0.229351 |            0.225447 |            0.231453 |            0.244097 |            0.275974 |          0.241264 |       0.0184456  |               147 |
|  34 |         8.20608 |    0.0328992   |        0.00935798 |      0.000272605 |                 64 |            25 | MSE             |     0.0001 | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.0001}     |            0.299467 |            0.302983 |            0.283111 |            0.303833 |            0.269116 |          0.291702 |       0.0135546  |               131 |
|  35 |         8.19189 |    0.0437326   |        0.01005    |      0.00131224  |                 64 |            25 | MSE             |     1e-05  | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 1e-05}      |            0.933828 |            0.834373 |            0.844909 |            0.851814 |            0.908172 |          0.874619 |       0.0391254  |                12 |
|  36 |         8.40853 |    0.0567551   |        0.00982308 |      0.000988297 |                 64 |            25 | Mean            |     0.01   | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.01}      |            0.314517 |            0.316852 |            0.314201 |            0.311999 |            0.325816 |          0.316677 |       0.0048215  |                90 |
|  37 |         8.44609 |    0.0533509   |        0.00961804 |      0.000459787 |                 64 |            25 | Mean            |     0.001  | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.001}     |            0.319996 |            0.321331 |            0.315997 |            0.322843 |            0.322026 |          0.320439 |       0.00240901 |                85 |
|  38 |         8.44293 |    0.0676032   |        0.0100257  |      0.000961851 |                 64 |            25 | Mean            |     0.0001 | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.0001}    |            0.379749 |            0.370732 |            0.368971 |            0.375147 |            0.358953 |          0.37071  |       0.00696627 |                61 |
|  39 |         8.42562 |    0.0451055   |        0.00997162 |      0.00111422  |                 64 |            25 | Mean            |     1e-05  | {'batch_size': 64, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 1e-05}     |            0.733342 |            0.720349 |            0.710548 |            0.689914 |            0.690139 |          0.708859 |       0.0169919  |                27 |
|  40 |        16.5782  |    0.0609358   |        0.0101069  |      0.00141995  |                 64 |            50 | MSE             |     0.01   | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.01}       |            0.213164 |            0.219994 |            0.213376 |            0.217415 |            0.211345 |          0.215059 |       0.00316623 |               175 |
|  41 |        16.4857  |    0.0894346   |        0.0100391  |      0.00105663  |                 64 |            50 | MSE             |     0.001  | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.001}      |            0.210594 |            0.220209 |            0.210167 |            0.233154 |            0.210222 |          0.216869 |       0.00899814 |               171 |
|  42 |        16.5498  |    0.101641    |        0.0106904  |      0.00146299  |                 64 |            50 | MSE             |     0.0001 | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.0001}     |            0.256563 |            0.261164 |            0.273512 |            0.270539 |            0.251523 |          0.26266  |       0.0082861  |               138 |
|  43 |        16.5308  |    0.0706241   |        0.00999002 |      0.00105263  |                 64 |            50 | MSE             |     1e-05  | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 1e-05}      |            0.67735  |            0.577715 |            0.549707 |            0.667456 |            0.628294 |          0.620104 |       0.0496771  |                33 |
|  44 |        16.8117  |    0.0788929   |        0.0100727  |      0.00129635  |                 64 |            50 | Mean            |     0.01   | {'batch_size': 64, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 0.01}      |            0.30571  |            0.300706 |            0.304099 |            0.326691 |            0.291621 |          0.305765 |       0.0115441  |               108 |
